age,weight,category,exercise_plan
56,104.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
32,99.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,89.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,56.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
28,79.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
70,90.1,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
41,93.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
70,117.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
61,115.4,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
19,58.6,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
38,91.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,84.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
61,46.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
44,90.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
59,48.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,72.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,51.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,60.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
72,118.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
74,48.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
68,96.0,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
26,49.9,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
21,115.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
31,105.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
26,46.2,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
19,96.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
64,96.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
61,82.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
64,58.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
34,64.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
57,101.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
79,84.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
59,87.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
46,117.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,78.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
27,112.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
31,99.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
32,51.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,84.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,69.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
33,101.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
64,107.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
43,117.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,85.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
58,67.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
62,50.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
24,76.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
18,59.9,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
41,46.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
68,98.0,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
52,104.3,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
76,50.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
56,93.8,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
45,109.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
25,78.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
50,49.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,95.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
54,99.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
57,65.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
52,80.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
54,117.9,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
20,102.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,62.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
31,82.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
26,98.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
